Tagsvideo,canal,Published,Description,monetized,abordagem,conteudo,objeto,suporte,publico-alvo,relevante
"TV Brasil, EBC, TV Pública, bicentenário da independência, caminhos da independência, estrada velha de santos",TV Brasil,2022-08-31,"No episódio de hoje (31) da série de reportagens sobre o Bicentenário da Independência, vamos te levar para o cenário por onde Dom Pedro, passou nos dias que antecederam o 7 de setembro de 1822. A Estrada Velha de Santos guarda os passos do então imperador do Brasil rumo ao país independente, tanto que o trajeto ficou conhecido como Caminho da Independência. E, neste ano, para o Bicentenário, monumentos lá construídos passam por restauro e preservam parte importante da história. Para assistir aos episódios anteriores, acesse Bicentenário Independência locais históricos. Bicentenário da Independência o futuro da relação Brasil e Portugal. Conheça a programação da sua TV Brasil. Siga a TV Brasil nas redes sociais Facebook -Twitter Instagram TikTok",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"tv canção nova, músicas, católico, Missa, Pregação, Homilia, brazil, missa ao vivo, live missa, Santa Missa, Canção Nova Oficial, Comunidade Canção Nova, Programação TV Canção Nova, TV Canção Nova AO VIVO, AO VIVO TV, cnnoticias, Canção Nova Notícias, Notícias Canção Nova",TV Canção Nova,2021-08-25,"Na sede da Canção Nova, no interior de São Paulo, o espaço dedicado à Mãe Rainha Três Vezes Admirável, de Schöenstatt, passa por restauração. Tudo para acolher melhor os peregrinos que aos poucos voltam a este lugar de oração. Reportagem de Danúbia Gleisser e Messias Junqueira. TV Canção Nova AO VIVO acompanhe e compartilhe nossa programação.",True,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"TV Brasil, EBC, TV Pública",TV Brasil,2022-11-07,"Carlos Drummond de Andrade e Pedro Nava fazem parte de um seleto grupo de escritores que tem estreita ligação com Minas Gerais. Tanto é que suas imagens, eternizadas em bronze, estão presentes no cotidiano dos mineiros, bem ali, no cruzamento da rua da Bahia com a Goiás, em Belo Horizonte. Pois agora, por uns tempos, os dois vão sair de lá. Mas é por uma boa razão, como nos conta a reportagem da Rede Minas.",True,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"TV Brasil, EBC, TV Pública",TV Brasil,2022-07-01,"Presidente Jair Bolsonaro participa da Cerimônia alusiva à Inauguração da Restauração do Casarão da Filarmônica Terpsícore Popular, em Maragojipe (BA). Acompanhe. Conheça a programação da sua TV Brasil. Siga a TV Brasil.",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"TV Brasil, EBC, TV Pública",TV Brasil,2022-04-25,"O órgão de tubos da Catedral da Sé ostenta o título de maior instrumento musical da cidade de São Paulo.  Outra marca desse gigante está longe de ser motivo de orgulho ele está mudo há mais de 20 anos.  Por isso, a Arquidiocese de São Paulo tenta levantar doações de pessoas e empresas para restaurar este patrimônio da cultura brasileira.",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"TV Brasil, EBC, TV Pública",TV Brasil,2022-03-28,"O edifício-sede do Ministério da Economia, que fica no Rio de Janeiro, tem uma nova fachada. Depois de um ano, a restauração devolveu a aparência original do prédio construído em 1943, quando a cidade ainda era a capital federal.",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"TV Brasil, EBC, TV Pública, di cavalcanti",TV Brasil,2023-01-28,"['Nos atos antidemocráticos', 'em Brasília', 'no dia 8 de janeiro', 'o painel ""Duas Mulatas""', 'do pintor Di Cavalcanti', 'que ficava no Palácio do Planalto', 'foi vandalizado. A obra agora será rastaurada', 'assim como outras peças danificadas nos ataques. Enquanto isso', 'no Rio de Janeiro', 'outras duas obras do artista serão devolvidas ao público. A visita aos painéis pode ser agendada pelo e-mail']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"tv canção nova, músicas, católico, Missa, Pregação, Homilia, brazil, missa ao vivo, live missa, Santa Missa, Canção Nova Oficial, Comunidade Canção Nova, Programação TV Canção Nova, TV Canção Nova AO VIVO, AO VIVO TV, cnnoticias, Canção Nova Notícias, Notícias Canção Nova",TV Canção Nova,2021-10-01,"Foram retomados os trabalhos de restauração da Basílica do Santo Sepulcro, local considerado ""centro do mundo"" para nós cristãos já que é o local onde Jesus foi crucificado e, mais do que isso, onde ressuscitou. Reportagem e edição Alessansdra Buzzetti Narração Lurdinha Nunes e Silvonei José Imagens Jonhy Michel TV Canção Nova AO VIVO acompanhe e compartilhe nossa programação.",True,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"Restauração das partituras de hinos nacionais, TV Brasil, EBC, TV Pública",TV Brasil,2022-09-02,"As partituras originais dos principais hinos brasileiros foram entregues pela Escola de Música da Universidade Federal do Rio de Janeiro, ao ministro da Secretaria Geral da Presidência da República, Luiz Eduardo Ramos, no Palácio do Planalto. A partir de 8 de setembro, grupos escolares vão poder ver de perto as partituras dos hinos Nacional, da Independência, da Bandeira e da Proclamação da República. As visitas precisam ser agendadas pelas escolas na Coordenação de Relações Públicas do Palácio do Planalto. Conheça a programação da sua TV Brasil.",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"tv canção nova, músicas, católico, Missa, Pregação, Homilia, brazil",TV Canção Nova,2019-10-31,"A Universidade Al-Quds de Jerusalém, em colaboração com o Patriarcado Greco-Ortodoxo, realiza escavações arqueológicas nos vestígios de duas igrejas, que remontam à época bizantina. Elas estão localizadas em Ramallah, perto do lugar que provavelmente acolheu os restos mortais de Santo Estêvão, primeiro mártir da Igreja Católica, com o objetivo de devolver a esse lugar seu estado de origem. Reportagem de Silvonei José.",True,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"História, Santo, Conservação, Arte Sacra, Restauro",Titina Corso,2013-06-13,Conservação e Restauração de Arte Sacra - filme técnico. Acompanhe todo o processo de restauro no  Restauradoras-Conservadoras responsáveis Titina Corso e Manuela Vidigal Capo D´Arte Restauração +55 11 30311613,False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"Arte, Sacra, Restauração, Conservação, Museu, Templo da Arte, Titina Corso",Titina Corso,2013-07-01,Um passeio nas ações da equipe de Conservadores e Restauradores do curso de Especialização em Conservação e Restauro de Arte Sacra 2 do Templo da Arte . Formandos 2012. Parte dos registros do TCC referente as imagens restauradas do Museu de Cruzeiro - Solar dos Novaes. LEIA-SE Diretora de Cultura - Dra Maria Cecília de Carvalho quem nos recepcionou na entrega juntamente com o Professor Carlos Felipe e a Prefeita Ana Karin Dias A. Andrade do Município de Cruzeiro.,False,"T, é, c, n, i, c, a","d, e, g, r, a, d, a, ç, õ, e, s, ,, A, m, b, i, e, n, t, e,  , d, e,  , t, r, a, b, a, l, h, o, ,, m, a, t, e, r, i, a, i, s, ,, p, r, o, c, e, s, s, o, s, ,, d, i, á, r, i, o,  , s, l, i, d, e, s, h, o, w,  , d, e,  , e, t, a, p, a, s,  , d, e,  , i, n, t, e, r, v, e, n, ç, ã, o, ,, L, a, b, o, r, a, t, ó, r, i, o,  , (, C, E, N, T, R, O,  , T, É, C, N, I, C, O,  , T, E, M, P, L, O,  , D, A,  , A, R, T, E, )","i, m, a, g, e, n, s,  , r, e, s, t, a, u, r, a, d, a, s,  , d, o,  , M, u, s, e, u,  , d, e,  , C, r, u, z, e, i, r, o,  , -,  , S, o, l, a, r,  , d, o, s,  , N, o, v, a, e, s",Escultura de madeira,"p, r, o, f, i, s, s, i, o, n, a, i, s, ,, r, e, g, i, s, t, r, o","e, n, g, a, j, a, m, e, n, t, o, ,, p, a, s, s, e, i, o,  , n, a, s,  , a, ç, õ, e, s,  , d, a,  , e, q, u, i, p, e,  , d, e,  , C, o, n, s, e, r, v, a, d, o, r, e, s,  , e,  , R, e, s, t, a, u, r, a, d, o, r, e, s,  , d, o,  , c, u, r, s, o,  , d, e,  , E, s, p, e, c, i, a, l, i, z, a, ç, ã, o,  , e, m,  , C, o, n, s, e, r, v, a, ç, ã, o,  , e,  , R, e, s, t, a, u, r, o,  , d, e,  , A, r, t, e,  , S, a, c, r, a,  , 2,  , d, o,  , T, e, m, p, l, o,  , d, a,  , A, r, t, e, .,  , F, o, r, m, a, n, d, o, s,  , 2, 0, 1, 2, ."
"restauro, arte sacra, imagem sacra, Santo Ivo, conservação",Titina Corso,2010-11-18,Restaurado em Novembro de 2010,False,"L, e, i, g, a, /, T, é, c, n, i, c, a",Filme técnico,"musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"tv canção nova, músicas, católico, Missa, Pregação, Homilia, brazil, missa ao vivo, live missa, Santa Missa, Canção Nova Oficial, Comunidade Canção Nova, Programação TV Canção Nova, TV Canção Nova AO VIVO, AO VIVO TV, cnnoticias, Canção Nova Notícias, Notícias Canção Nova",TV Canção Nova,2021-10-01,"Na Terra Santa, foram retomados os trabalhos de restauração da Basílica do Santo Sepulcro. Ao todo foram feitas mais de 50 mil fotos em alta definição. Elas serão usadas no primeiro mapa topográfico digital do piso da Basílica. Reportagem de Alessandra Buzzetti e Jonhy Michel | Narração de Lurdinha Nunes TV Canção Nova AO VIVO acompanhe e compartilhe nossa programação. Assine nosso conteúdo pelo Telegram.",True,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Titina Corso,2020-01-22,Restauração de placa em gesso grega.,False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"restauração, arte sacra, imagem sacra, menino jesus, conservação",Titina Corso,2010-11-18,Restauro feito em Novembro de 2010 - filme técnico,False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"Conservação, restauro, arte sacra, imagem sacra, menino jesus, restauração",Titina Corso,2010-11-18,Obra restaurada em Novembro de 2010,False,"L, e, i, g, a, /, T, é, c, n, i, c, a","slideshow de etapas de intervenção, algumas legendas","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"restauro, imagem sacra, arte sacra, conservação, pastor de presépio",Titina Corso,2010-11-18,Novembro de 2010 - Filme técnico,False,"L, e, i, g, a, /, T, é, c, n, i, c, a",Video técnico,"musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"TV Brasil, EBC, TV Pública",TV Brasil,2022-08-06,"Em comemoração ao Bicentenário da Independência do Brasil, a prefeitura do Rio restaura estátuas e monumentos relacionados à data. Entre eles está a estátua de Dom Pedro I, na Praça Tiradentes, local onde foi promulgada a primeira constituição brasileira. Conheça a programação da sua TV Brasil.",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"Museu do Ipiranga, TV Brasil, EBC, TV Pública",TV Brasil,2022-09-07,"A famosa pintura de Pedro Américo, Independência ou Morte, que retrata o Grito do Ipiranga e estabeleceu a imagem que os brasileiros têm desse episódio, volta a ser exposta ao público como principal estrela do Museu do Ipiranga, reaberto após nove anos. Ele passou por uma reforma de mais de R$ 200 milhões, dobrou de tamanho e teve mais de 3,5 mil peças do acervo restauradas.",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"TV Brasil, EBC, TV Pública",TV Brasil,2022-04-28,"Ele ostenta o título de maior instrumento musical da cidade de São Paulo. São 5 teclados, dezenas de outros comandos e ainda um conjunto de pedais é o órgão de tubos da Catedral da Sé. Mas outro número desse gigante está longe de ser um orgulho ele está mudo há mais de 20 anos. Por isso a Arquidiocese de São Paulo tenta levantar doações de pessoas e empresas, para restaurar este patrimônio da cultura brasileira.",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"tv canção nova, músicas, católico, Missa, Pregação, Homilia, brazil, missa ao vivo, live missa, Santa Missa, Canção Nova Oficial, Comunidade Canção Nova, Programação TV Canção Nova, TV Canção Nova AO VIVO, AO VIVO TV, cnnoticias, Canção Nova Notícias, Notícias Canção Nova",TV Canção Nova,2020-12-01,"Depois das restaurações, o túmulo de Lázaro, na antiga cidade de Betânia, ficou mais acessível aos visitantes. A restauração deste local marca a narrativa bíblica da Ressurreição de Lázaro e hoje está na rota das peregrinações. Narração de Lurdinha Nunes | Imagens de Daniele Cavalli. TV Canção Nova AO VIVO acompanhe e compartilhe nossa programação.",True,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"exames de imagem, ciência da restauração, ciência, exames, restauração, restauro, pintura","Ateliê, Arte e Restauração",2017-09-08,"['Para mais informações', 'acesse nosso site ou Instagram e conheça um pouco mais sobre o nosso trabalho.<br><br>www.ateliearterestauracao.com.br<br><br>www.instagram.com/ateliearterestauracao']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Fabiano Barros,2021-06-13,['Técnica de pinturas faciais em Imagens sacras.<br>Espero que esse vídeo ajude bastante as pessoas que gostam de ARTES SACRAS.<br> <br>Quem quiser colaborar com qualquer pequena quantia para que eu possa ensinando muitas técnicas de cada detalhe de cada Imagem Sacras para que as pessoas se desenvolva cada vez mais em cada detalhes das imagens sacras.<br><br>AGÊNCIA  1699-3<br><br>CONTA  11.753-6<br><br>BANCO DO BRASIL<br><br><br>E-mail para contato fabianobarrosartista gmail.com.<br><br>WhatsApp (83) 99180-3263<br><br>Instagram fabianoartistaplastico<br><br>ATELIÊ ARTE SACRAS<br>CIDADE  Conde-PB'],False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Fabiano Barros,2021-06-25,['Ensinando técnica de restauração e pinturas de em Imagens Sacras.<br><br>Espero que esse vídeo ajude bastante as pessoas que gostam e praticar Artes Sacras.<br><br>Inscreva no meu Canal para que possa providenciar mais vídeos ensinando <br>minhas técnicas para que as se desenvolva cada vez mais na Artes Sacras<br><br>meu contato de Imail fabianobarrosartistagmail.com.br'],False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Fabiano Barros,2019-07-07,A Restauração da Imagem de N.S.da Conceição que pertence a Casa da Paz Maria de Nazaré<br>João Pessoa PB. Bairro José Américo<br>Essa restauraçao foi concluída no Sábado 06 de Julho de 2019,False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Fabiano Barros,2022-02-12,['Coração de Jesus esculpida em gesso 60 centímetros<br>peça única'],,,,,,,
,Fabiano Barros,2019-02-23,['Restaurações das imagens sacras da Igreja Matriz de N.S.do Livramento da cidade de Bananeiras PB<br>Concluída a restauração da Imagem de N.S.das Dores de 1 metro e 3 centímetros está imagem é Francesa<br>A restauração desta Imagem fui concluída em 22 de Fevereiro de 2019 são obras ainda dá administração de Padre Joanderson Lira e que agora o Pároco atual é o Padre José de Arimatéia .'],False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Fabiano Barros,2019-07-14,['Restauração da Imagem de N.S.da Boa Morte<br>Ela tem 01 metro e 10 centímetros<br>Pertence a Igreja Matriz de N.S.do Livramento na Cidade de Bananeiras PB<br>Pároco Padre José de Arimatéia<br>Essa restauraçao foi concluída em 11 de Julho de 2019'],False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Fabiano Barros,2022-08-25,Restauração de dois quadros muito antigos,False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Fabiano Barros,2019-06-06,['Restauração da Imagem da Imagem Peregrina N.S.de Fátima que estava visitando o nordeste <br>Ela e de Portugal e é 1919 a número 03<br>Ela passou por uma Restauração de emergência próximo a base dela que estava muito intacta<br>Antes de mim ela já tinha passado por uma restauração no mesmo local afetado só o serviço foi feito lá África<br>Mais desta vez eu fiz um trabalho bem mais reforçado e acredito que ficou bem resistente<br>Essa restauração pela minhas mãos foi executada no dia 24 de Maio de 2019<br>Na cidade de Guarabira PB'],False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Fabiano Barros,2022-06-26,['A Restauração da Imagem de São Zé Bastião de 1 metro e 23 centímetros.<br>de uma comunidade da cidade de Area-PB'],False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Fabiano Barros,2019-08-20,"['Tenho muitas e muitas obras realizadas desde o ano de 1997<br>Mais alguns passados não nós não tinhamos facilidades de registrar tudo<br>Hoje graças a Deus com essa tecnologia cada vez mais avançada eu ainda consegui fotografar', 'filmar e fazer video de alguns trabalhos realizados mais a muitas obras que ficaram para traz e eu não consego voltar lá para registrar', 'mais vou fazer um esforço para conseguir <br>Mais obras surgirá a qualquer momento pode ser na Paraíba-PB', 'Nordeste como já fiz muitas obras em Pernambuco- PE', 'Rio Grande do Norte-RN', 'Maceió-AL', 'e a próxima será no Ceará-CE']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Fabiano Barros,2021-07-20,['Como fazer um lindo Resplendor para a Imagem de N.S.do Perpétuo Socorro passo a passo.<br>assista o vídeo esse vídeo que ajudar você a se desenvolver mais uma pouco nas Artes Sacras.<br>E NÃO SE ESQUEÇA DE INSCREVER NO MEU CANAL'],False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Fabiano Barros,2019-06-04,['Restauração de Imagem de N.S.de Fátima de 1 metro e 13 centímetros que pertence a Casa da Paz Maria de Nazaré.'],False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Fabiano Barros,2022-02-13,['Imagem de santo Antônio<br>Técnica de bordado caminho sem muito simples e material simples bem muito mais barato e o resultado é surpreendente.<br><br>EM BREVE IREI DA AULAS'],False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Fundação Joaquim Nabuco,2021-10-08,"['Givaldo Batista<br>Laboratório de Pesquisa', 'Conservação e Restauração de Documentos e Obras de Arte (Laborarte)<br>Diretoria de Memória', 'Educação', 'Cultura e Arte<br>Fundação Joaquim Nabuco']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Fundação Joaquim Nabuco,2022-10-26,"['Durante a primeira aula da Disciplina 3 - Teoria e História da Conservação e do Restauro (com a professora contratada para ministrar a disciplina Natália Vieira)', 'do Curso de Especialização em Conservação e Restauração do Patrimônio Cultural Edificado', 'tivemos uma importante palestra da Arquiteta e Urbanista Beatriz Mugayar Kuhl', 'nome muito ativo e conhecido no meio da preservação do Patrimônio Cultural no Brasil.<br><br>A palestra intitulada Conservação e restauração do patrimônio edificado a importância da fundamentação teórica  ocorreu no dia 17/10/2022 às 1830h. O curso é promovido pela Diretoria de de Inovação e Formação Profissional (Difor)']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,"Ateliê, Arte e Restauração",2021-03-26,"['Conservação e restauro de pintura a óleo sobre tela', 'atribuído a assinado por Zaragoza - Ateliê', 'Arte e Restauração.Para mais informações', 'acesse nosso site - ateliearterestauracao Ateliê especializado em conservação e restauração de obras de arte - pinturas de cavalete', 'arte sobre papel e esculturas.']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Fundação Joaquim Nabuco,2022-11-11,"['Encontro aconteceu durante a primeira aula da Disciplina Teoria e História da Conservação e do Restauro', 'com a professora Natália Vieira', 'do Curso de Especialização em Conservação e Restauração do Patrimônio Cultural Edificado', 'tivemos uma importante palestra da Arquiteta e Urbanista Beatriz Mugayar Kuhl', 'nome muito ativo e conhecido no meio da preservação do Patrimônio Cultural no Brasil. A palestra intitulada Conservação e restauração do patrimônio edificado a importância da fundamentação teórica ocorreu no dia 17/10/2022 às 18:30h.']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
